time,open,high,low,close,volume
1748394000000,2658.28,2659.39,2653.03,2653.11,1616.8869
1748394300000,2653.11,2653.64,2650.0,2650.71,1115.2082
1748394600000,2650.7,2652.9,2648.99,2648.99,872.5265
1748394900000,2649.0,2649.4,2644.81,2645.21,1450.4338
1748395200000,2645.2,2648.7,2643.14,2643.14,1707.4905
1748395500000,2643.13,2643.79,2638.08,2640.19,2641.2011
1748395800000,2640.19,2643.89,2636.62,2642.78,1899.8538
1748396100000,2642.78,2643.5,2640.1,2640.83,1198.6217
1748396400000,2640.83,2645.4,2638.0,2640.03,1241.3401
1748396700000,2640.04,2645.64,2638.7,2644.61,937.241
1748397000000,2644.61,2644.85,2641.22,2642.4,1455.0743
1748397300000,2642.39,2642.39,2631.02,2634.47,3815.3692
1748397600000,2634.47,2637.49,2628.02,2629.34,4022.1733
1748397900000,2629.35,2635.45,2626.66,2633.0,3464.5605
1748398200000,2633.0,2633.9,2630.0,2631.31,1959.5037
1748398500000,2631.3,2632.9,2627.79,2629.25,1650.9318
1748398800000,2629.25,2629.71,2624.31,2624.31,2702.7426
1748399100000,2624.3,2624.4,2618.34,2622.01,3524.4046
1748399400000,2622.01,2626.88,2620.31,2625.01,1981.1002
1748399700000,2625.01,2630.2,2622.7,2628.8,2627.7336
1748400000000,2628.8,2638.7,2628.01,2635.38,6124.5696
1748400300000,2635.39,2642.19,2634.5,2638.81,2560.8613
1748400600000,2638.82,2640.8,2636.7,2639.01,3247.3913
1748400900000,2639.01,2640.29,2638.1,2638.45,785.0046
1748401200000,2638.45,2638.45,2633.52,2633.74,1932.8395
1748401500000,2633.75,2636.5,2633.75,2634.81,656.5104
1748401800000,2634.82,2641.01,2634.82,2640.69,1295.7828
1748402100000,2640.69,2641.32,2636.79,2637.89,1260.9604
1748402400000,2637.9,2639.79,2633.4,2634.03,912.3896
1748402700000,2634.03,2637.7,2633.97,2636.1,974.9728
1748403000000,2636.11,2644.62,2635.1,2644.3,1255.5598
1748403300000,2644.31,2647.3,2641.0,2644.58,2073.3676
1748403600000,2644.58,2646.3,2642.49,2644.28,1728.6726
1748403900000,2644.28,2646.2,2643.49,2645.22,767.5061
1748404200000,2645.22,2650.0,2644.31,2647.55,1855.8319
1748404500000,2647.54,2648.72,2645.37,2645.37,984.1144
1748404800000,2645.38,2645.38,2643.5,2643.81,1649.7677
1748405100000,2643.81,2648.61,2641.6,2642.49,1593.7519
1748405400000,2642.49,2643.5,2641.4,2642.2,423.2821
1748405700000,2642.21,2644.5,2642.21,2642.9,498.7628
1748406000000,2642.89,2645.5,2637.0,2637.71,1552.9248
1748406300000,2637.72,2638.8,2634.02,2636.83,1221.042
1748406600000,2636.83,2639.9,2636.51,2639.28,661.1378
1748406900000,2639.29,2648.42,2639.28,2647.05,2096.0731
1748407200000,2647.04,2648.65,2645.26,2647.9,1363.9407
1748407500000,2647.9,2652.57,2647.9,2648.84,1216.2721
1748407800000,2648.84,2650.0,2647.5,2647.54,523.567
1748408100000,2647.54,2649.01,2645.9,2646.41,1471.1179
1748408400000,2646.42,2647.0,2643.2,2643.21,857.4801
1748408700000,2643.22,2643.7,2638.0,2639.4,1094.7719
1748409000000,2639.4,2640.86,2636.99,2638.74,2799.6691
1748409300000,2638.73,2642.5,2637.52,2639.97,1235.1058
1748409600000,2639.98,2642.0,2639.32,2641.8,813.0199
1748409900000,2641.7,2642.6,2640.13,2640.14,889.6148
1748410200000,2640.14,2642.91,2639.42,2642.3,976.1939
1748410500000,2642.31,2644.79,2639.54,2639.55,1141.6456
1748410800000,2639.55,2640.39,2634.95,2638.59,3446.5707
1748411100000,2638.59,2641.3,2637.4,2640.65,533.6479
1748411400000,2640.64,2641.44,2639.4,2641.43,782.6284
1748411700000,2641.44,2642.07,2639.6,2639.85,799.2935
1748412000000,2639.86,2639.86,2632.08,2633.21,2611.4078
1748412300000,2633.22,2636.07,2630.01,2630.82,1299.5235
1748412600000,2630.82,2631.0,2624.6,2624.6,2302.6468
1748412900000,2624.6,2630.4,2623.85,2628.51,1154.9097
1748413200000,2628.5,2631.0,2628.5,2630.23,602.6506
1748413500000,2630.24,2634.67,2627.3,2633.8,1064.5797
1748413800000,2633.79,2633.79,2629.6,2630.59,724.4694
1748414100000,2630.6,2631.2,2625.01,2626.79,1399.8541
1748414400000,2626.78,2629.03,2625.81,2628.2,758.1178
1748414700000,2628.2,2630.54,2626.61,2629.69,527.1902
1748415000000,2629.7,2632.53,2629.61,2632.39,910.1777
1748415300000,2632.39,2632.39,2627.1,2627.7,550.6011
1748415600000,2627.69,2631.0,2625.0,2630.16,1081.1569
1748415900000,2630.16,2637.44,2630.1,2636.39,1518.7278
1748416200000,2636.39,2636.9,2633.6,2634.2,754.5272
1748416500000,2634.2,2638.2,2633.51,2636.5,833.2181
1748416800000,2636.51,2637.5,2634.0,2634.9,478.3078
1748417100000,2634.91,2635.32,2633.1,2634.1,374.4934
1748417400000,2634.1,2637.9,2633.89,2637.89,888.4549
1748417700000,2637.9,2639.9,2637.3,2638.66,988.0174
1748418000000,2638.67,2640.66,2637.49,2640.31,882.8297
1748418300000,2640.31,2640.56,2638.6,2639.71,344.8527
1748418600000,2639.72,2643.0,2637.03,2641.89,1027.551
1748418900000,2641.88,2641.88,2635.24,2636.39,722.6537
1748419200000,2636.39,2638.1,2636.17,2637.9,535.8871
1748419500000,2637.9,2640.19,2635.0,2635.0,1569.1157
1748419800000,2635.0,2635.01,2628.83,2632.0,3249.8798
1748420100000,2632.0,2633.5,2630.2,2632.89,733.9794
1748420400000,2632.89,2639.0,2632.89,2637.28,915.4108
1748420700000,2637.29,2641.37,2637.28,2639.6,1187.1099
1748421000000,2639.61,2639.94,2633.54,2638.02,1229.6803
1748421300000,2638.02,2643.5,2635.71,2642.09,1584.6892
1748421600000,2642.09,2645.76,2641.05,2644.95,1399.4974
1748421900000,2644.94,2644.99,2640.62,2643.0,793.1538
1748422200000,2643.0,2643.5,2640.33,2641.49,567.9167
1748422500000,2641.49,2642.9,2641.05,2642.9,393.1345
1748422800000,2642.89,2643.6,2640.34,2641.11,779.7645
1748423100000,2641.11,2643.06,2640.06,2640.4,521.2849
1748423400000,2640.4,2641.99,2636.11,2636.46,5455.1615
1748423700000,2636.46,2638.0,2633.2,2637.98,1079.2237
1748424000000,2637.99,2638.6,2633.01,2634.11,653.9251
1748424300000,2634.1,2635.06,2630.59,2631.38,748.5062
1748424600000,2631.38,2633.38,2627.96,2630.01,2197.1533
1748424900000,2630.01,2631.7,2622.2,2630.11,3240.2557
1748425200000,2630.1,2630.2,2626.39,2628.61,1135.5427
1748425500000,2628.6,2630.4,2627.6,2629.44,872.518
1748425800000,2629.41,2630.61,2627.0,2629.49,783.21
1748426100000,2629.48,2630.2,2624.21,2626.72,6392.6029
1748426400000,2626.72,2626.72,2608.5,2614.31,6068.2254
1748426700000,2614.29,2623.5,2613.61,2622.7,2391.6818
1748427000000,2622.7,2626.5,2622.2,2626.01,1502.8954
1748427300000,2626.0,2629.96,2618.96,2620.7,3755.9357
1748427600000,2620.7,2627.44,2620.1,2627.44,1304.7854
1748427900000,2627.44,2634.0,2627.09,2634.0,2177.1822
1748428200000,2634.0,2642.92,2633.85,2638.7,2715.0866
1748428500000,2638.7,2640.5,2636.31,2636.8,1441.1167
1748428800000,2636.8,2637.1,2634.8,2635.99,931.2376
1748429100000,2636.0,2638.7,2635.29,2638.6,559.5109
1748429400000,2638.6,2642.83,2638.6,2639.5,3715.8389
1748429700000,2639.51,2641.6,2639.01,2640.41,434.7274
1748430000000,2640.4,2647.56,2640.1,2647.56,1813.6078
1748430300000,2647.55,2648.8,2645.12,2646.2,1217.9232
